N/A;USD TO AUD 1M FWD PTS - EXCHANGE RATE;USD TO AUD 3M FWD PTS - EXCHANGE RATE;USD TO AUD 6M FWD PTS - EXCHANGE RATE;USD TO AUD 9M FWD PTS - EXCHANGE RATE;USD TO EUR 1M FWD PTS - EXCHANGE RATE;USD TO EUR 3M FWD PTS - EXCHANGE RATE;USD TO EUR 6M FWD PTS - EXCHANGE RATE;USD TO EUR 9M FWD PTS - EXCHANGE RATE;USD TO NZD 1M FWD PTS - EXCHANGE RATE;USD TO NZD 3M FWD PTS - EXCHANGE RATE;USD TO NZD 6M FWD PTS - EXCHANGE RATE;USD TO NZD 9M FWD PTS - EXCHANGE RATE;SEK TO USD 1M FWD PTS - EXCHANGE RATE;SEK TO USD 3M FWD PTS - EXCHANGE RATE;SEK TO USD 6M FWD PTS - EXCHANGE RATE;SEK TO USD 9M FWD PTS - EXCHANGE RATE;NOK TO USD 1M FWD PTS - EXCHANGE RATE;NOK TO USD 3M FWD PTS - EXCHANGE RATE;NOK TO USD 6M FWD PTS - EXCHANGE RATE;NOK TO USD 9M FWD PTS - EXCHANGE RATE;USD TO GBP 1M FWD PTS - EXCHANGE RATE;USD TO GBP 3M FWD PTS - EXCHANGE RATE;USD TO GBP 6M FWD PTS - EXCHANGE RATE;USD TO GBP 9M FWD PTS - EXCHANGE RATE;JPY TO USD 1M FWD PTS - EXCHANGE RATE;JPY TO USD 3M FWD PTS - EXCHANGE RATE;JPY TO USD 6M FWD PTS - EXCHANGE RATE;JPY TO USD 9M FWD PTS - EXCHANGE RATE;CAD TO USD 1M FWD PTS - EXCHANGE RATE;CAD TO USD 3M FWD PTS - EXCHANGE RATE;CAD TO USD 6M FWD PTS - EXCHANGE RATE;CAD TO USD 9M FWD PTS - EXCHANGE RATE;CHF TO USD 1M FWD PTS - EXCHANGE RATE;CHF TO USD 3M FWD PTS - EXCHANGE RATE;CHF TO USD 6M FWD PTS - EXCHANGE RATE;CHF TO USD 9M FWD PTS - EXCHANGE RATE;CHF TO USD (LSEG DS) - EXCHANGE RATE;EURO TO US $ (RFV) - EXCHANGE RATE;CAD TO USD (LSEG DS) - EXCHANGE RATE;AUD TO USD (LSEG DS) - EXCHANGE RATE;NZD TO USD (LSEG DS) - EXCHANGE RATE;GBP TO US $ (LSEG DS) - EXCHANGE RATE;JPY TO USD (LSEG DS) - EXCHANGE RATE;NORWEGIAN KRONE TO US $ (WMR) - EXCHANGE RATE;SWEDISH KRONA TO US $ (WMR) - EXCHANGE RATE;Gold, USD FX Comp. U$/Troy Oz;Silver Commodity Cash Spot;Platinum,Free Market $/troy oz;Palladium, USD FX Comp. U$/Troy Oz
Code;AUD1MFP;AUD3MFP;AUD6MFP;AUD9MFP;EUR1MFP;EUR3MFP;EUR6MFP;EUR9MFP;NZD1MFP;NZD3MFP;NZD6MFP;NZD9MFP;SEK1MFP;SEK3MFP;SEK6MFP;SEK9MFP;NOK1MFP;NOK3MFP;NOK6MFP;NOK9MFP;GBP1MFP;GBP3MFP;GBP6MFP;GBP9MFP;JPY1MFP;JPY3MFP;JPY6MFP;JPY9MFP;CAD1MFP;CAD3MFP;CAD6MFP;CAD9MFP;CHF1MFP;CHF3MFP;CHF6MFP;CHF9MFP;TDCHFSP;EUDOLLR;TDCADSP;TDAUDSI;TDNZDSI;TSUSDSP;TDJPYSP;NORKRO$;SWEKRO$;GOLDUSD;SILVCSP;PLTFREE;PALLUSD
29.03.2000;2;5.35;9.25;12.8;18;NA;NA;NA;1;0.8;0.5;-0.5;-150.5;NA;NA;NA;-21.5;-43;-110;-190;2.7;6.25;NA;NA;-49.25;-161;NA;NA;-10.15;-31.5;-65;-95;-45.9;NA;NA;NA;1.6759;1.04899;1.4568;1.63447;1.9996;NA;105.73;8.459;8.6409;276.25;4.96;483;612
30.03.2000;2;5.25;9.25;13;19.5;NA;NA;NA;0.95;0.45;-0.25;-1.5;-162.5;NA;NA;NA;-25.5;-44.5;-115;-205;2.45;5.45;NA;NA;-61.25;-161;NA;NA;-10.45;-30.7;-63.5;-96;-49.4;NA;NA;NA;1.6575;1.04646;1.4546;1.64016;2.00682;NA;105.39;8.421;8.651;276.5;4.955;480;605.3
31.03.2000;2.1;5.55;10.65;15.5;19.4;NA;NA;NA;0.95;0.25;-0.5;-2;-161.5;NA;NA;NA;-22.5;-44;-112;-197;2.55;6.2;NA;NA;-58.25;-159.65;NA;NA;-10.45;-32.2;-64.5;-97;-48.25;NA;NA;NA;1.66465;1.04504;1.4491;1.65551;2.01572;NA;102.8;8.4392;8.64;278.95;5.01;482;590
03.04.2000;2.1;5.2;10.2;15;20.55;NA;NA;NA;0.85;0.35;-0.5;-1;-172;NA;NA;NA;-25.5;-47.5;-120;-195;2.15;4.8;NA;NA;-55.85;-161;NA;NA;-10.55;-32;-63.5;-96;-47.75;NA;NA;NA;1.6525;1.04559;1.4498;1.64743;2.002;NA;104.865;8.459;8.6766;278.1499;5.03;508;585.5
04.04.2000;1.75;4.6;8.95;13;20.05;NA;NA;NA;0.75;0.05;-1.5;-4;-166.9;NA;NA;NA;-23.5;-45;-90;-175;1.2;3.35;NA;NA;-53.95;-159.95;NA;NA;-10.95;-32;-64.5;-97;-51.5;NA;NA;NA;1.6394;1.04745;1.4525;1.66226;1.9988;NA;105.215;8.5005;8.71;284.7998;5.13;511;594.85
05.04.2000;1.55;4.3;8.05;12;19.45;NA;NA;NA;0.8;-0.1;-0.8;-2.5;-156.6;NA;NA;NA;-23.5;-44.5;-110;-180;1.2;3.75;NA;NA;-52.8;-161.65;NA;NA;-10.25;-31.7;-65.5;-97;-50;NA;NA;NA;1.6365;1.03552;1.4506;1.65428;1.98807;NA;104.915;8.441;8.6114;281.5;5.1;521;600
06.04.2000;1.75;4.5;8.85;12;19.05;NA;NA;NA;0.7;0;-0.4;-1.5;-160.25;NA;NA;NA;-22.5;-47.5;-115;-195;2.4;6.35;NA;NA;-52.35;-161.1;NA;NA;-10.05;-31;-63.5;-97;-48.35;NA;NA;NA;1.6398;1.04264;1.453;1.65871;1.99521;NA;104.76;8.4733;8.646;280.5;5.11;514;588.5
07.04.2000;1.55;4.3;7.65;10.5;18.8;NA;NA;NA;0.75;0;-0.8;-2.5;-159.5;NA;NA;NA;-22.5;-44.5;-115;-190;2.3;6.4;NA;NA;-52.6;-162;NA;NA;-10.05;-31.5;-63.5;-97;-48.25;NA;NA;NA;1.6435;1.04319;1.4584;1.67226;2;NA;105.4;8.4775;8.6459;280.2;5.09;495;577.5
10.04.2000;1.7;4.4;7.25;10.3;19.75;NA;NA;NA;0.7;-0.5;-1.6;-4.5;-169.55;NA;NA;NA;-20.5;-44.5;-115;-180;2.4;5.65;NA;NA;-56.8;-163.8;NA;NA;-9.95;-31.5;-64;-97;-47.25;NA;NA;NA;1.6336;1.04199;1.4625;1.67054;2.00481;NA;106.425;8.4965;8.618;281.75;5.13;488;555
11.04.2000;1.8;4.5;8.05;10.7;19.8;NA;NA;NA;0.7;-0.6;-1.2;-3.75;-163;NA;NA;NA;-16.5;-42;-115;-190;2.5;6.9;NA;NA;-56.75;-164;NA;NA;-5.25;-31;-63.5;-98;-49.5;NA;NA;NA;1.6418;1.03853;1.4633;1.67928;2.00361;NA;106.92;8.4955;8.61;281.6299;5.11;493;567.7
12.04.2000;1.7;4.85;8.85;13;18.45;NA;NA;NA;0.8;-0.4;-1;-3.5;-159.2;NA;NA;NA;-11.5;-30;-100;-165;2.65;6.7;NA;NA;-52.55;-161.9;NA;NA;-10.45;-31;-64.5;-97;-47.3;NA;NA;NA;1.6428;1.04395;1.4629;1.68274;2.01207;NA;105.78;8.5145;8.6822;282.25;5.115;495;567.5
13.04.2000;1.9;5.45;11.05;16;18.75;NA;NA;NA;0.8;0;-0.25;-1;-163.6;NA;NA;NA;-8.5;-25;-85;-135;3.1;7.3;NA;NA;-52.7;-163;NA;NA;-10.25;-31;-63.5;-97.5;-46;NA;NA;NA;1.6478;1.04657;1.4725;1.67067;2.01005;NA;105.855;8.5298;8.6892;281.7998;5.15;500;557.5
14.04.2000;1.9;5.8;12.5;19.5;18.8;NA;NA;NA;0.75;0;-0.5;-1.5;-160.5;NA;NA;NA;-4.5;-20;-70;-115;3.3;7.5;NA;NA;-52.35;-161;NA;NA;-10.25;-31;-63.5;-96;-45.75;NA;NA;NA;1.63135;1.04592;1.4768;1.67536;2.00965;NA;104.8;8.5403;8.692;283;5.14;510;583.45
17.04.2000;1.9;5.85;11.75;18;19.8;NA;NA;NA;0.7;0.1;0;0;-170.55;NA;NA;NA;-1.5;-19;-75;-115;3.1;7.3;NA;NA;-55.55;-162.6;NA;NA;-10.15;-30.5;-62.5;-96;-46.45;NA;NA;NA;1.6493;1.04723;1.4852;1.67579;2.02347;NA;104.54;8.5855;8.7236;281.3799;5.105;505;582
18.04.2000;1.65;5.75;11.85;18;18.1;NA;NA;NA;0.5;-0.25;-1;-2.5;-160;NA;NA;NA;-4;-15;-70;-117.5;1.85;6.3;NA;NA;-53.8;-161;NA;NA;-10.95;-30.3;-62.5;-95;-49.3;NA;NA;NA;1.6663;1.05352;1.4808;1.68286;2.02102;NA;104.695;8.6155;8.732;281.1299;5.11;501;587.65
19.04.2000;1.7;5.55;11.95;19.5;17.7;NA;NA;NA;0.1;-0.45;-2.05;-3;-161;NA;NA;NA;-2.5;-17;-75;-115;1.8;6.05;NA;NA;-52.6;-162.45;NA;NA;-10.05;-30.7;-61.5;-96;-46.3;NA;NA;NA;1.6694;1.06315;1.4757;1.6864;2.00682;NA;104.8;8.688;8.761;280.7798;5.1;492;576.8
20.04.2000;1.5;5.95;12.8;19;17.8;NA;NA;NA;0;-0.4;-0.8;-3.5;-161.5;NA;NA;NA;-4.5;-10;-62.5;-95;1.05;5.1;NA;NA;-53;-163.3;NA;NA;-9.8;-30.5;-61.5;-94;-45.75;NA;NA;NA;1.6765;1.0644;1.4743;1.6864;2.02265;NA;105.7;8.6905;8.7606;279.75;4.97;488;565
21.04.2000;1.5;5.4;12.25;19;17.75;NA;NA;NA;0;-0.45;-2.05;-3.5;-161;NA;NA;NA;-2.5;-11;-65;-105;1.15;5.15;NA;NA;-53.15;-163.5;NA;NA;-9.95;-30.5;-61.5;-94;-45.75;NA;NA;NA;1.6753;1.0644;1.4735;1.6864;2.02265;NA;105.77;8.6905;8.7606;280;4.98;488;570
24.04.2000;1.5;5.45;11.88;19.2;19.55;NA;NA;NA;-0.07;-0.5;-2;-3.5;-175.85;NA;NA;NA;-3.5;-10;-62.5;-95;1.3;5.2;NA;NA;-58.45;-164.1;NA;NA;-10.05;-30.2;-60.5;-91;-45.8;NA;NA;NA;1.6759;1.06417;1.4768;1.6864;2.02265;NA;105.775;8.6705;8.773;279.7998;4.94;488;567.9
25.04.2000;1.5;5.5;12.15;19.2;18.85;NA;NA;NA;-0.05;-0.5;-1;-2.5;-176.05;NA;NA;NA;-2.5;-15;-75;-110;1;5.8;NA;NA;-58.65;-170.4;NA;NA;-9.85;-30;-60.5;-91;-50.5;NA;NA;NA;1.7081;1.07828;1.468;1.68021;2.01979;NA;106.34;8.797;8.8433;278.25;5;476;565
26.04.2000;1.3;5;10.95;17.8;19.45;NA;NA;NA;-0.15;-0.7;-2;-2.5;-166.75;NA;NA;NA;-2.5;-17;-75;-140;1.25;8.1;NA;NA;-55.3;-168.2;NA;NA;-10.75;-29.8;-59.5;-91.5;-50.15;NA;NA;NA;1.7024;1.08272;1.4748;1.69642;2.05719;NA;106.265;8.809;8.8592;275.6499;4.945;470;577.4
27.04.2000;1.15;5.95;12.8;17;19.6;NA;NA;NA;0;-0.7;-0.63;-0.5;-179.1;NA;NA;NA;-0.5;-16;-75;-125;1.7;10.1;NA;NA;-56.05;-170.85;NA;NA;-10.85;-30.5;-61.5;-94;-47.75;NA;NA;NA;1.7276;1.09697;1.477;1.69645;2.05973;NA;106.41;8.956;8.9658;277.0498;4.955;486;593.3
28.04.2000;1.25;5.2;11.35;17.7;19.8;NA;NA;NA;-0.15;-0.65;-1;-1;-188.5;NA;NA;NA;-2.5;-21;-80;-162.5;2.8;14;NA;NA;-57.55;-175.15;NA;NA;-10.85;-33.3;-67;-102;-51.25;NA;NA;NA;1.7172;1.09733;1.481;1.70517;2.06058;NA;108.2;8.947;8.953;273.5;4.97;525;595
01.05.2000;1.35;4.85;11.15;16.75;18.75;NA;NA;NA;0.15;0.25;0.5;1;-183.15;NA;NA;NA;-5;-19.5;-80;-162.5;2.75;14.1;NA;NA;-58.65;-178.5;NA;NA;-11.75;-33.7;-66.5;-101;-51.25;NA;NA;NA;1.7075;1.10084;1.4788;1.72074;2.06612;NA;108.76;8.9555;8.956;273.6299;5.02;525;615
02.05.2000;1.3;4.65;11.25;18;18.45;NA;NA;NA;0.23;0.4;1;1.5;-184;NA;NA;NA;-6.5;-25;-85;-150;3;15.8;NA;NA;-58.65;-178.25;NA;NA;-11.5;-33.75;-66.5;-102;-51.75;NA;NA;NA;1.7139;1.10144;1.486;1.70691;2.06441;NA;108.415;8.9595;8.962;275.75;5.02;527;601.5
03.05.2000;1.85;6.15;12.85;20;18.1;NA;NA;NA;0.3;1.5;3;4.5;-187.3;NA;NA;NA;-8.5;-35;-114;-190;3.75;17.25;NA;NA;-59;-179.75;NA;NA;-10.95;-35;-66.5;-103;-53.05;NA;NA;NA;1.72455;1.12158;1.494;1.68614;2.04499;NA;109.01;9.0505;9.051;278.3799;5.01;502;595.75
04.05.2000;2.1;6.7;13.55;21;17.8;NA;NA;NA;0.45;1.75;3.25;7.5;-192.25;NA;NA;NA;-10.5;-38;-120;-215;4.9;18.39999;NA;NA;-58.95;-178.5;NA;NA;-10.75;-35.2;-67.5;-102;-53.75;NA;NA;NA;1.7399;1.12082;1.4948;1.69924;2.0404;NA;107.99;9.0855;9.088;280.1299;5.105;510;591
05.05.2000;2.2;6.95;14.9;24.1;17.5;NA;NA;NA;0.65;2;4;8;-200.5;NA;NA;NA;-17.5;-45;-131;-245;5.25;19.5;NA;NA;-50.55;-179.4;NA;NA;-10.95;-35.5;-70.5;-108;-54.75;NA;NA;NA;1.7295;1.12007;1.49;1.68492;2.04332;NA;108.56;9.1085;9.1139;278.95;4.99;509;582.5
08.05.2000;2.35;7.2;15.85;24;18.7;NA;NA;NA;0.52;1.9;3.75;7.5;-214.25;NA;NA;NA;-20.5;-55;-155;-285;6.3;20.89999;NA;NA;-61.65;-180.85;NA;NA;-11.05;-35.2;-70.5;-106;-60.25;NA;NA;NA;1.7248;1.11882;1.492;1.70177;2.07555;NA;108.985;9.102;9.0985;276.6299;5.01;504;587.5
09.05.2000;2.2;7.2;14.75;23.5;18.45;NA;NA;NA;0.5;1.9;3;6.5;-212.5;NA;NA;NA;-20.5;-55;-137.5;-260.5;6.3;22.10001;NA;NA;-60.1;-186.1;NA;NA;-11.85;-35;-69.5;-106;-58.05;NA;NA;NA;1.7148;1.10816;1.49;1.71658;2.08681;NA;109.24;9.0415;9.05;277.25;5.03;509;584
10.05.2000;2.4;7.6;15.85;25.1;18.85;NA;NA;NA;0.4;1.75;3;5.5;-208.5;NA;NA;NA;-22.5;-53;-112.5;-200;6.2;22.2;NA;NA;-60.05;-185.55;NA;NA;-10.95;-36.2;-70;-108;-54.05;NA;NA;NA;1.7191;1.09733;1.4928;1.71286;2.096;NA;109.55;9.0195;9.024;277.75;5.015;511;586.1
11.05.2000;2.45;7.7;15.6;24.9;18.85;NA;NA;NA;0.4;1.65;3.05;6.5;-211.65;NA;NA;NA;-27;-66.5;-149.5;-260;6.2;19.95;NA;NA;-60.15;-180.45;NA;NA;-10.25;-32.2;-63.5;-99;-53.95;NA;NA;NA;1.7275;1.10656;1.4875;1.73232;2.09512;NA;108.475;9.1135;9.1216;275.95;5;512;580.1
12.05.2000;2.6;7.95;16.5;27;19.15;NA;NA;NA;0.55;1.95;3.7;7;-207;NA;NA;NA;-28.5;-76;-167.5;-320;6.3;20.7;NA;NA;-60.45;-182.05;NA;NA;-10.45;-32.3;-64.5;-100;-56.13;NA;NA;NA;1.6924;1.1029;1.4855;1.72736;2.08768;NA;108.38;9.0225;9.099;276.1499;5;514;576
15.05.2000;2.65;7.45;14.75;24;20.58;NA;NA;NA;0.45;2.1;4.3;8.5;-223;NA;NA;NA;-33.5;-82.5;-187.5;-325;6.7;21.32001;NA;NA;-64.85;-183.55;NA;NA;-10.75;-33;-66.5;-103;-58.75;NA;NA;NA;1.7075;1.09123;1.4866;1.74041;2.11015;NA;109.29;8.9475;9.028;275.6499;5;508;570
16.05.2000;2.85;7.95;16.35;27;18.7;NA;NA;NA;0.25;1.35;3.7;9.5;-205.25;NA;NA;NA;-34.5;-87;-190;-335;7.1;23.35001;NA;NA;-61.1;-188.45;NA;NA;-11.15;-32.8;-67.5;-106;-57;NA;NA;NA;1.7218;1.10485;1.4849;1.73357;2.11551;NA;109.625;9.0345;9.109;275.5498;5.085;505;578.5
17.05.2000;2.4;7;15.1;25.13;17.75;NA;NA;NA;0.1;0.8;1.7;4.25;-209.85;NA;NA;NA;-37.5;-89;-205;-315;7.6;25;NA;NA;-61.15;-185;NA;NA;-10.25;-32;-67.5;-104;-56.5;NA;NA;NA;1.7342;1.12233;1.4969;1.75186;2.1645;NA;109.3;9.1625;9.198;273.3499;4.98;512;574.75
18.05.2000;2.45;6.75;15.05;24;18.25;NA;NA;NA;0.3;0.45;1.5;2.5;-233.55;NA;NA;NA;-35.5;-88;-192.5;-320;8;26.55;NA;NA;-60.75;-183.75;NA;NA;-10.25;-32;-67.5;-107;-58.5;NA;NA;NA;1.7387;1.11894;1.4991;1.75897;2.20897;NA;108.69;9.1415;9.147;273.3499;5;520;577
19.05.2000;2.65;7.1;16.15;26.2;18.5;NA;NA;NA;0.2;0.55;1.5;3.25;-236;NA;NA;NA;-34.5;-88;-192.5;-310;7.6;26.55;NA;NA;-59.65;-180.75;NA;NA;-10.15;-33.2;-70;-111;-56.04;NA;NA;NA;1.7271;1.12007;1.4963;1.75897;2.18818;NA;107.02;9.1445;9.163;274.25;4.97;538;581
22.05.2000;2.8;7.95;18;29.5;18.75;NA;NA;NA;0.4;0.9;1.7;4;-220.75;NA;NA;NA;-37;-88;-180;-295;7.5;26.5;NA;NA;-61.75;-180.6;NA;NA;-10.75;-33;-69.5;-110;-60.8;NA;NA;NA;1.7218;1.10619;1.4979;1.74556;2.1777;NA;107.13;9.112;9.2113;275.75;4.99;547;565
23.05.2000;2.7;8.8;19.55;32;18.3;NA;NA;NA;0.35;1;2;4.5;-213.5;NA;NA;NA;-36.5;-89;-190;-315;7.05;25.64999;NA;NA;-59.55;-184.2;NA;NA;-10.35;-32.5;-67.5;-109;-59.25;NA;NA;NA;1.7222;1.10035;1.5067;1.73257;2.18055;NA;106.45;9.108;9.178;274.3499;5;544;580.5
24.05.2000;2.6;8.35;18.85;29.8;18.6;NA;NA;NA;0.3;0.7;0.5;0;-214.05;NA;NA;NA;-37.5;-93.5;-195;-320;7.8;25.7;NA;NA;-60.3;-182.05;NA;NA;-10.15;-32;-67.5;-106;-58;NA;NA;NA;1.726;1.10205;1.5097;1.74926;2.2041;NA;107.815;9.125;9.1927;273.5498;4.97;563;569.5
25.05.2000;2.55;8.53;18.75;30;18.95;NA;NA;NA;0.1;0.25;-0.52;-0.5;-216.5;NA;NA;NA;-36.5;-93;-215;-365;7.15;26.35001;NA;NA;-60.15;-181.5;NA;NA;-9.85;-32.3;-66;-106;-57.55;NA;NA;NA;1.7135;1.10266;1.5031;1.7602;2.19346;NA;107.34;9.1015;9.161;270.25;4.91;555;567.5
26.05.2000;2.65;8.65;19.45;31.3;19.4;NA;NA;NA;0.15;0.25;-0.75;-1.5;-212.5;NA;NA;NA;-36.5;-93;-215;-350;7.05;24.8;NA;NA;-59.85;-181.05;NA;NA;-10.25;-32;-66.5;-107;-57.75;NA;NA;NA;1.6815;1.08003;1.5031;1.75337;2.19346;NA;107.15;8.9728;9.0806;272.0498;4.92;545;568
29.05.2000;2.75;9.45;21.5;35;20.25;NA;NA;NA;0.4;0.8;0.5;1.5;-209.5;NA;NA;NA;-35.5;-92.5;-210;-358;7.5;24.85001;NA;NA;-61.9;-181.45;NA;NA;-9.95;-32;-67.5;-106;-56.5;NA;NA;NA;1.6916;1.07793;1.5002;1.74498;2.18484;NA;107.015;8.9675;9.06;272.1499;4.935;545;565
30.05.2000;2.75;10.2;22.85;37;19.3;NA;NA;NA;0.8;0.8;0.75;2.5;-209;NA;NA;NA;-35.5;-96;-214;-359;7.6;27.25;NA;NA;-59.95;-187.2;NA;NA;-11.25;-32.2;-67.5;-109;-56.75;NA;NA;NA;1.6867;1.07239;1.5059;1.72379;2.17344;NA;106.54;8.9332;9.001;272.95;4.91;548;571.7
31.05.2000;2.8;9.9;22.7;36.8;18.5;NA;NA;NA;0.45;1.1;1.5;1;-209.5;NA;NA;NA;-34.5;-93;-210;-345;7.6;26.60001;NA;NA;-58.85;-183.2;NA;NA;-10.95;-33.7;-69.5;-110;-54.75;NA;NA;NA;1.681;1.07828;1.4968;1.74323;2.18341;NA;107.65;8.9618;9.013;272.1499;4.92;551;581
01.06.2000;2.95;10.25;23.55;37.3;18.15;NA;NA;NA;0.45;1;0.5;1.5;-207.65;NA;NA;NA;-33.5;-91;-200;-330;7.75;26.55;NA;NA;-59.45;-184.3;NA;NA;-10.5;-33.5;-69.5;-110;-54.25;NA;NA;NA;1.6868;1.074;1.491;1.74673;2.19154;NA;108.515;8.9283;8.962;272.7998;4.91;553;582
02.06.2000;2.8;9.65;21.9;34.75;18.45;NA;NA;NA;0.35;0.25;-0.5;-1;-202;NA;NA;NA;-29.5;-87;-167;-252;7.65;25.75;NA;NA;-59;-182.05;NA;NA;-9.65;-31.75;-67.5;-109;-53.25;NA;NA;NA;1.6634;1.0591;1.4765;1.74862;2.1473;NA;108.05;8.8135;8.8207;281.3799;4.99;556;592.5
05.06.2000;3;9.15;21.25;32.8;19.85;NA;NA;NA;0.45;0.75;-1;-3;-213.7;NA;NA;NA;-27.5;-83;-150;-235;8.5;25.55;NA;NA;-62.5;-180.5;NA;NA;-9.55;-31.5;-65.5;-104;-52.45;NA;NA;NA;1.66;1.05876;1.4793;1.7135;2.14041;NA;107.335;8.7735;8.831;285.48;5.025;566;617.5
06.06.2000;2.65;9.45;21.6;33.7;19.55;NA;NA;NA;0.55;0.95;-0.3;-2;-203.75;NA;NA;NA;-28.5;-79;-150;-215;8.7;27.60001;NA;NA;-59.6;-181.8;NA;NA;-10.35;-31.7;-65.5;-102;-55.95;NA;NA;NA;1.646;1.04286;1.4773;1.71922;2.11282;NA;105.795;8.6402;8.698;289.2998;5.06;560;619.15
07.06.2000;2.75;9.35;21.85;34.5;19.95;NA;NA;NA;0.5;0.85;-0.2;-1;-205.5;NA;NA;NA;-26.5;-67;-125;-200;8.7;27.25;NA;NA;-59.45;-181;NA;NA;-10.25;-32.7;-65;-100;-54.25;NA;NA;NA;1.63005;1.04482;1.4795;1.69872;2.11999;NA;105.345;8.654;8.7042;287.25;5.07;554;638
08.06.2000;2.9;9.35;21.2;33;17.85;NA;NA;NA;0.45;1.05;-0.3;-1;-200.5;NA;NA;NA;-22.5;-58;-110;-185;8;26.10001;NA;NA;-57.85;-177.5;NA;NA;-9.95;-32;-65.5;-102;-50.25;NA;NA;NA;1.638;1.04877;1.4769;1.69587;2.13311;NA;106.055;8.724;8.7595;284.45;5.06;547;642.7
09.06.2000;2.85;9.45;21.8;35;17.85;NA;NA;NA;0.5;0.95;-0.35;-1.5;-199.5;NA;NA;NA;-21.5;-54;-104;-194;8.1;25.89999;NA;NA;-58.75;-180;NA;NA;-9.95;-31.5;-63.5;-100;-49.5;NA;NA;NA;1.642;1.05152;1.4747;1.7047;2.13675;NA;106.9;8.7425;8.788;283.8499;5.03;547;650
12.06.2000;2.81;9.6;21.9;34.5;18.85;NA;NA;NA;0.45;0.85;-0.75;-1.5;-199.5;NA;NA;NA;-20;-54;-108;-195;8.45;25.14999;NA;NA;-62.05;-185;NA;NA;-9.85;-31.2;-63.5;-100;-49.75;NA;NA;NA;1.6379;1.04833;1.4761;1.6955;2.1427;NA;106.835;8.6935;8.71;286.75;5.01;546;642
13.06.2000;3.1;10.1;22.75;37;18.5;NA;NA;NA;0.48;0.5;-0.63;-2.5;-210.5;NA;NA;NA;-20.5;-52;-85;-155;8.7;25.5;NA;NA;-62.05;-184.5;NA;NA;-10.65;-31.5;-63.5;-99;-52.5;NA;NA;NA;1.62885;1.04091;1.4683;1.68423;2.11909;NA;106.92;8.6415;8.641;285.75;5;551;665
14.06.2000;2.95;9.8;21.3;32.4;18.95;NA;NA;NA;0.5;0.6;-0.82;-2.5;-202.5;NA;NA;NA;-9.5;-25;-58;-70;8.85;26.10001;NA;NA;-60.3;-182.35;NA;NA;-10.75;-32;-65;-100;-47.9;NA;NA;NA;1.632;1.04275;1.4678;1.65894;2.10393;NA;106.62;8.582;8.548;291.75;5.06;540;659.5
15.06.2000;2.9;9.5;20.8;31.4;18.05;NA;NA;NA;0.35;0.45;-2;-3.5;-198.5;NA;NA;NA;-7.5;-15;-44;-60;8.4;25.95;NA;NA;-58.15;-178.25;NA;NA;-10.25;-31.3;-65.5;-98;-47.95;NA;NA;NA;1.6365;1.04976;1.4746;1.67085;2.13311;NA;106.47;8.6397;8.632;289.8499;5.05;542;670
16.06.2000;2.9;9.65;21.05;31.5;18.25;NA;NA;NA;0.3;0.35;-1.7;-2.7;-199;NA;NA;NA;0.5;-2;-5;-10;8.45;25.8;NA;NA;-59.95;-177;NA;NA;-10.25;-31;-63.5;-98;-47.25;NA;NA;NA;1.6173;1.0408;1.4659;1.64503;2.09118;NA;106.41;8.5926;8.6281;289.25;5.06;542;682
19.06.2000;3.05;9.6;20.8;31.2;18.18;NA;NA;NA;0.4;0.25;-1.6;-2.5;-198.5;NA;NA;NA;-2.5;-2.5;-2.5;0;8.57;25.95;NA;NA;-58.05;-176.5;NA;NA;-10.25;-31.5;-63.5;-100;-46.5;NA;NA;NA;1.6307;1.04134;1.4664;1.65977;2.11416;NA;105.92;8.5963;8.6284;286.25;5.025;555;688
20.06.2000;2.8;9.6;21.05;30.8;18.5;NA;NA;NA;0.45;0.4;-1.5;-2.5;-199.85;NA;NA;NA;-3;-8.5;-10;-12;8.8;26.95;NA;NA;-59.45;-179.4;NA;NA;-11.15;-31.5;-64.5;-100;-49;NA;NA;NA;1.6287;1.04668;1.4711;1.6526;2.10659;NA;105.57;8.6231;8.643;286.2;5.015;570;686
21.06.2000;2.8;9.65;21.05;31.5;17.6;NA;NA;NA;0.5;0.5;-1.3;-1.5;-200.75;NA;NA;NA;-4;-7;-7.5;-10;8.5;26;NA;NA;-57.55;-175.8;NA;NA;-10.75;-32.7;-65.5;-102;-46.35;NA;NA;NA;1.6403;1.05686;1.4735;1.66428;2.10748;NA;105.575;8.6935;8.7134;286.2;4.96;563;683
22.06.2000;2.9;9.7;20.95;31.7;17.25;NA;NA;NA;0.4;0.35;-1.5;-3;-201.5;NA;NA;NA;-2.5;10.5;30;55;8.5;25.95;NA;NA;-57.25;-174.5;NA;NA;-10.85;-33;-66.5;-101;-45.45;NA;NA;NA;1.6547;1.0644;1.4765;1.6683;2.11416;NA;104.57;8.7378;8.8159;285.6499;4.96;575;648.65
23.06.2000;2.85;9.65;21.25;32.1;17.3;NA;NA;NA;0.5;0.2;-1.75;-3.5;-205.5;NA;NA;NA;-3.5;17;47;80;8.1;25.55;NA;NA;-57.05;-174;NA;NA;-11.15;-33;-68.5;-104;-46.85;NA;NA;NA;1.6576;1.06781;1.4833;1.68051;2.12269;NA;104.78;8.7412;8.858;283.2;4.95;560;659
